May 4 Rankings,Leon Edwards,Kamaru Usman,Colby Covington,Khamzat Chimaev,Belal Muhammad,Gilbert Burns,Shavkat Rakhmonov,Stephen Thompson,Geoff Neal,Sean Brady,Vicente Luque,Neil Magny,Michael Chiesa,Jack Della Maddalena,Michel Pereira,Daniel Rodriguez,Jorge Masvidal,Kevin Holland,Tyron Woodley,Randy Brown
Leon Edwards,0,152.64,0,0,8.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kamaru Usman,167.48,0,93.48,0,0,123.95,0,0,0,0,0,0,0,0,0,0,250,0,0,0
Colby Covington,0,48.62,0,0,0,0,0,0,0,0,0,0,,0,0,0,157.43,0,0,0
Khamzat Chimaev,0,0,0,0,0,90.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Belal Muhammad,5.39,0,0,0,0,82.8,0,0,0,77,107.67,0,0,0,0,0,0,0,0,0
Gilbert Burns,0,20,0,52.18,32.4,0,0,0,0,0,0,102.65,0,0,0,0,0,0,104.54,0
Shavkat Rakhmonov,0,0,0,0,0,0,0,0,98.29,0,0,111.38,0,0,0,0,0,0,0,0
Stephen Thompson,0,0,0,0,0,0,0,0,107.4,0,0,0,0,0,0,0,0,109.61,0,0
Geoff Neal,0,0,0,0,0,0,29.76,45.78,0,0,0,0,0,0,0,0,0,0,0,0
Sean Brady,0,0,0,0,23.2,0,0,0,0,0,0,0,82.75,0,0,0,0,0,0,0
Vicente Luque,0,0,0,0,38.19,0,0,0,0,0,0,0,93.3,0,0,0,0,0,0,0
Neil Magny,0,0,0,0,0,1.6,6.61,0,0,0,0,0,101.03,0,0,0,0,0,0,0
Michael Chiesa,0,0,0,0,0,0,0,0,0,26.59,8.83,21.85,0,0,0,0,0,0,0,0
Jack Della Maddalena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96.85
Michel Pereira,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniel Rodriguez,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jorge Masvidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Holland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyron Woodley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randy Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
